timestamp,tweet_text,username,all_hashtags,followers_count
2020-03-03 21:12:12,"b""So - #Biden and #Bloomberg, now want to Ban Guns - Why? It's our 2nd Amendment. The rights of the people, if they get voted in, are completely at stake during this next election cycle. Wake Up Folks. Come #KAG2020 with Us, in 2020 - @SamanthaJPower @Alyssa_Milano @cher #TRUMP https://t.co/4q5OsA1zBr""",b'LetsMoveOnward',"['Biden', 'Bloomberg', 'KAG2020', 'TRUMP']",1405
2020-03-03 21:12:03,"b""Come on #Bloomberg, now you've taken it too far!  #Coronavirus #SuperTuesday #MiniMike #Maga #kaga #Biden #Bernie #Bernie2020 #Bloomberg2020 #Biden #SuperTuesday2020  https://t.co/RpGUY3KDHI""",b'TheNotFakeDC',"['Bloomberg', 'Coronavirus', 'SuperTuesday', 'MiniMike', 'Maga', 'kaga', 'Biden', 'Bernie', 'Bernie2020', 'Bloomberg2020', 'Biden', 'SuperTuesday2020']",6959
2020-03-03 21:11:54,b'And apparently touring the diner circuit!  https://t.co/lbyildL95t #Bloomberg #Mike2020? #Democrats2020? #CommonTouch? #SuperTuesday #election2020 #politics',b'AlanTonelson',"['Bloomberg', 'Mike2020', 'Democrats2020', 'CommonTouch', 'SuperTuesday', 'election2020', 'politics']",4844
2020-03-03 21:09:03,b'Democrat presidential #MikeBloomberg caught in moment hypocrisy audience member asked comment fact his security detail armed probably with weapons similar #Bloomberg wants to take away from citizens The embarrassing exchange about 12:50 point on video https://t.co/VO8nh7ry6A',b'Nobby_greens',"['MikeBloomberg', 'Bloomberg']",4113
2020-03-03 21:08:24,b'@MikeBloomberg #Bloomberg #TrumpIsUnfit #Unfit the movie https://t.co/onveNxq6Yn',b'decoy99',"['Bloomberg', 'TrumpIsUnfit', 'Unfit']",1034
2020-03-03 21:08:03,b'See our updates of our projections for all 15 #SuperTuesday #supertuesday2020 contests https://t.co/lp9glRhWHW we have #bloomberg coming in 3/4 place in all primaries except 2',b'Politisite',"['SuperTuesday', 'supertuesday2020', 'bloomberg']",9396
2020-03-03 21:07:22,b'(Himself) oof... #Bloomberg https://t.co/p7LnlLr992',b'BrandonH1293',['Bloomberg'],92
2020-03-03 21:07:15,"b""#Trump TORCHES 'Mini Mike' #Bloomberg In #CPAC Speech https://t.co/UiQCVYK9yK via @YouTube""",b'1BrendanOKeeffe',"['Trump', 'Bloomberg', 'CPAC']",342
2020-03-03 21:06:58,"b""It's almost like he is trying to lose!  #Bloomberg https://t.co/4PjwAz6vPb""",b'LibertyInHeels',['Bloomberg'],746
2020-03-03 21:06:56,b'The first exit polls are almost in. GO @BernieSanders!   #SuperTuesday #Bernie2020 #Biden #Warren #Bloomberg https://t.co/uqZUvgnMO7',b'wim881',"['SuperTuesday', 'Bernie2020', 'Biden', 'Warren', 'Bloomberg']",63
2020-03-03 21:06:52,b'Dana Loesch Destroys Michael #Bloomberg for Lying to Americans About Gun Control https://t.co/KzNSTlDH0G',b'1Bunny4T',['Bloomberg'],9370
2020-03-03 21:06:31,b'#SuperTuesday discussion w Host @BillHemmer alongside @marthamaccallum and  #Bloomberg pollster @DouglasESchoen   https://t.co/5rP2iQg47F',b'robertwolf32',"['SuperTuesday', 'Bloomberg']",12128
2020-03-03 21:06:28,"b""What a thorough, complete #imbecile. You shake the dog's PAW, idiot. #tejas #Bloomberg #pandering https://t.co/oEPcPYcYHW""",b'INTJs_rock',"['imbecile', 'tejas', 'Bloomberg', 'pandering']",427
2020-03-03 21:05:55,"b""Here's @eitanhersh's analysis of what Bloomberg needs too understand before he even thinks about running again. #Bloomberg #SuperTuesday #supertuesday2020 #Primary2020  https://t.co/e09OcwcOv0""",b'NiskanenCenter',"['Bloomberg', 'SuperTuesday', 'supertuesday2020', 'Primary2020']",17364
2020-03-03 21:05:22,"b'Would #Bloomberg be rich enough to give every citizen a free #cadillac? That is the question on #supertuesday2020. No cadillac, no vote - capisce? (Can be a Deville 68).'",b'CryptosaurR',"['Bloomberg', 'cadillac', 'supertuesday2020']",6
2020-03-03 21:04:57,b'Still waiting on #Biden call. Tulsi #Gabbard live call-in right now. #Bloomberg team presented audio message from Mike.  #AScaucus #SuperTuesday #AmericanSamoa #Democrats2020 https://t.co/H0uPbfxZ1V',b'Fanua',"['Biden', 'Gabbard', 'Bloomberg', 'AScaucus', 'SuperTuesday', 'AmericanSamoa', 'Democrats2020']",1146
2020-03-03 21:03:46,b'Somewhere Larry David is having a complete conniption over this \xf0\x9f\x98\xb7 #Covid_19 #Bloomberg https://t.co/YsnGVL24qV',b'taradublinrocks',"['Covid_19', 'Bloomberg']",42777
2020-03-03 21:02:12,"b'Look everybody! It seems that Colorado voters who check to make sure their postal mail ballots arrived and finding on the official website ..&gt;  #Bloomberg ads.   Money can buy just about anything these days, but not MY VOTE!  https://t.co/KCfYMd8yZB https://t.co/Y9tkGqCKCD'",b'DiddleySquatt',['Bloomberg'],607
2020-03-03 21:01:37,b'Let\xe2\x80\x99s Pray to God #WashYourHands doesn\xe2\x80\x99t turn into #learntocode cuz we really need a collective understanding on germs right now... Look at you BLOOMBERG!! #caronavirusoutbreak #Bloomberg',b'Willieboip',"['WashYourHands', 'learntocode', 'caronavirusoutbreak', 'Bloomberg']",91
2020-03-03 21:01:09,b'@DonaldJTrumpJr #Bloomberg doing his best to spread #coronavirus',b'swipper62',"['Bloomberg', 'coronavirus']",108
2020-03-03 21:00:55,"b'\xf0\x9f\x93\xa3 New Podcast! ""Episode #23 - Is it Super Tuesday or Stupid Shrews-day for Democrats"" on @Spreaker #bernie #biden #bloomberg #coronavirus #democrats #elections #finance #hillary #opinion #politics #primaries #sanders #trump https://t.co/sPaY090slk'",b'TFL1728',"['bernie', 'biden', 'bloomberg', 'coronavirus', 'democrats', 'elections', 'finance', 'hillary', 'opinion', 'politics', 'primaries', 'sanders', 'trump']",4455
2020-03-03 21:00:42,"b""'Does your life matter more than mine?' Citizen catches #Bloomberg in gun hypocrisy 'You have an armed security detail'  https://t.co/JIM4yILTmW""",b'Nobby_greens',['Bloomberg'],4113
2020-03-03 21:00:24,b'Finger licking good!\xf0\x9f\xa4\xae Thank GOD this pig isn\xe2\x80\x99t in charge of the #CoronaOutbreak  #CoronaVirusSeattle #coronavirus #Bloomberg #Bloomberg2020 \xf0\x9f\xa4\xa2 https://t.co/DSxF57KCsI',b'MissLynneO',"['CoronaOutbreak', 'CoronaVirusSeattle', 'coronavirus', 'Bloomberg', 'Bloomberg2020']",4838
2020-03-03 21:00:00,b'#Biden (20%) and #Sanders (19%) are tied among voters not affiliated with either major party. #Bloomberg picks up 17% of these voters... https://t.co/0rKuoZiqX3 https://t.co/s5JLGGuc1y',b'Rasmussen_Poll',"['Biden', 'Sanders', 'Bloomberg']",280468
2020-03-03 21:00:00,b'Michael #Bloomberg is educating the nation on the role of money in politics. #DemDebate  @pisackson https://t.co/mDn861GSjE',b'myfairobserver',"['Bloomberg', 'DemDebate']",13485
2020-03-03 20:59:15,b'Salty language warning:  Here @grahamelwood says exactly what I think of #Bloomberg   Nailed it!  @democracynow @Truthdig @mtracey @aaronjmate @Consortiumnews @NatCounterPunch @inthesetimesmag @ninaturner   https://t.co/HsYtA3bnW5',b'DiddleySquatt',['Bloomberg'],607
2020-03-03 20:59:06,"b""@MikeBloomberg Hard 2 dispute the appeal of #Bloomberg's #Greenwood if 1 happens 2be #AfricanAmerican. It seems 2imply he is at least trying right past #missteps. But I feel strongly @JoeBiden has earned nomination more than any other #candidate. #TuesdayThoughts #PresidentialRace2020""",b'Aberjhani',"['Bloomberg', 'Greenwood', 'AfricanAmerican', 'missteps', 'candidate', 'TuesdayThoughts', 'PresidentialRace2020']",1207
2020-03-03 20:58:31,"b'If you ever had a grandparent do something disgusting and say \xe2\x80\x9cI\xe2\x80\x99ve lived this long, ain\xe2\x80\x99t no germs gonna hurt me,\xe2\x80\x9d then you understand why the Coronavirus is so dangerous to that Generation. #WashYourHands #Covid_19 #Bloomberg https://t.co/diImFQ9nMM'",b'Willieboip',"['WashYourHands', 'Covid_19', 'Bloomberg']",91
