timestamp,Username,Retweets,Text,Mentions,Hashtags
Tue Feb 18 15:59:01 +0000 2020,730569782228074497,0,i knew the answer before i asked.,,
Tue Feb 18 15:59:00 +0000 2020,470643671,0,Let's go Joe!!!!!,,
Tue Feb 18 15:59:00 +0000 2020,1702223029,0,Could you imagine if it was the Trump's doing this? People get mad at @POTUS for his tweets and all but one thing he isn't is sneaky! This is the second article I've read about @JoeBiden and his family today and it's just sickening. #quidproquojoehttps://twitter.com/JEAvalon/status/1229679106121445377 …,@POTUS @JoeBiden,#quidproquojoehttps
Tue Feb 18 15:58:56 +0000 2020,16170253,734,"Bloomberg, last March, predicted he couldn't win the Democratic nomination without changing his political views: ""Joe Biden went out and apologized for being male, over 50, white. He apologized for the one piece of legislation which is actually a pretty good anti-crime bill."" pic.twitter.com/MDAew1ztwa",,
Tue Feb 18 15:58:55 +0000 2020,715474256889384960,0,@PeteButtigieg @amyklobuchar @adamgabbatt @ewarren @TomSteyer @JoeBiden @CNN @maddowhttps://twitter.com/ChrisRBarron/status/1229565794671112192 …,@PeteButtigieg @amyklobuchar @adamgabbatt @ewarren @TomSteyer @JoeBiden @CNN @maddowhttps,
Tue Feb 18 15:58:55 +0000 2020,1204728398154739712,0,I will vote for Bloomberg,,
Tue Feb 18 15:58:53 +0000 2020,884764947405717504,4,WATCH: Bloomberg’s disturbing comments to 11-year-old girl have people calling him “Joe Biden Jr.” https://truepundit.com/watch-bloombergs-disturbing-comments-to-11-year-old-girl-have-people-calling-him-joe-biden-jr/ …,,
Tue Feb 18 15:58:51 +0000 2020,542828771,0,"I just wanted to say thank you for correctly stating the numbers. Many people state she got her ass kicked, but it was far from the truth. 3 states and a paltry 77k votes have put us in this hell.",,
Tue Feb 18 15:58:44 +0000 2020,2563968596,0,@joebiden...How dare you!!!!! https://twitter.com/VertDuFerk/status/1229907684809269248 …,@joebiden,
Tue Feb 18 15:58:43 +0000 2020,752248514,1,"Out knocking doors in Summerlin, NV! Join @TeamJoe and our man himself @JoeBiden for an early vote event with the @AAPILeaders Council! Info below: https://www.mobilize.us/joebiden/event/228922/ … #Biden2020 #NVCaucus2020pic.twitter.com/8ssLaF59yy",@TeamJoe @JoeBiden @AAPILeaders,#Biden2020 #NVCaucus2020pic
Tue Feb 18 15:58:42 +0000 2020,3158061806,1,“Joe Biden: A Distant Tie” - a good name for a biography. https://twitter.com/business/status/1229917785410678785 …,,
Tue Feb 18 15:58:41 +0000 2020,190088054,0,"no offense there former VP but there are two sexes, male and female. To be born a male and think you are a female or vise versa is not a civil rights issue. To think it is is disrespect to all those who do fall under the civil rights issue.",,
Tue Feb 18 15:58:40 +0000 2020,780577795923546113,0,Yup.,,
Tue Feb 18 15:58:34 +0000 2020,2858151526,0,Obama: 'I Have No Memory Of Anyone Named Joe Biden' https://babylonbee.com/news/barack-obama-i-have-no-memory-of-anyone-named-joe-biden …,,
Tue Feb 18 15:58:26 +0000 2020,714490700906291200,0,"As a survivor of both child abuse and rape, I take great offense that you erase me as a Bernie Bro. I am not. Everyone I know is not. What are you sharing a racist's propaganda? Why?",,
Tue Feb 18 15:58:25 +0000 2020,1038572665500565504,0,Bernie's ants are out of nest.,,
Tue Feb 18 15:58:23 +0000 2020,1127613659109371904,0,I agree that it’s very early. Still sanders doing better in 2 of the 10 states isn’t a whole lot. *not saying he can’t beat trump*,,
Tue Feb 18 15:58:10 +0000 2020,1088464238736273413,0,pic.twitter.com/XOoMNUQCgS,,
Tue Feb 18 15:58:09 +0000 2020,30525015,0,Gee. I wonder why Barry hasn’t endorsed you yet !? You’re slipping Joe. It’s time to hang it up,,
Tue Feb 18 15:58:09 +0000 2020,771746766291075072,0,pic.twitter.com/EXLTTEwX9P,,
Tue Feb 18 15:58:08 +0000 2020,772888663843676160,0,Bye Joepic.twitter.com/fHV7BiRuU8,,
Tue Feb 18 15:58:07 +0000 2020,855270521365159937,0,that's Joe Biden sneaking up behind him for a sniff!,,
Tue Feb 18 15:58:06 +0000 2020,1198345541588942848,0,"Damn. Out of these choices, probably Joe Biden, and I don’t even think he can win anymore",,
Tue Feb 18 15:58:05 +0000 2020,235737144,1,"Where the fuck is Warren? Jon, don't you wonder where Warren is? I wonder where Warren is.",,
Tue Feb 18 15:57:57 +0000 2020,786963810829512704,4,"It’s truly incredible when you realize Joe Biden has faced down attacks from Trump, his Kremlin lackeys, FOX, the entire GOP, Trump’s lawyers, other Dems candidates, and still is the strongest opponent for Trump. Joe is the guy who can win. #Biden2020 #BidenBouncebackpic.twitter.com/zCdzNULsiS",,#Biden2020 #BidenBouncebackpic
Tue Feb 18 15:57:57 +0000 2020,751557708466315264,0,"Biden Told a Group of Black Leaders That Black Parents Can’t Read, Says Report https://www.thedailybeast.com/biden-told-a-group-of-black-leaders-that-black-parents-cant-read-says-report?source=twitter&via=desktop … via @thedailybeast fuck joe biden for this bullshit the nerve of this crakka",@thedailybeast,
Tue Feb 18 15:57:52 +0000 2020,351151761,0,"Yes... a start but he’ll need a plan to speak directly to the thousands of innocent Black, and Brown people ... who were thrown up against a wall and treated like criminals. @MikeBloomberg hurt a lot of people.",@MikeBloomberg,
Tue Feb 18 15:57:49 +0000 2020,1127613659109371904,0,"I’d agree and as you can see in the comments I think sanders still could win, in fact it seems he’s favored against trump. But it does seem clear that Biden performs the best *this* far out",,
Tue Feb 18 15:57:48 +0000 2020,28316562,0,You’re a Joe Biden Delegate? What a disgrace you are. The wonder “everyone else is being mean” by pointing that out.,,
Tue Feb 18 15:57:48 +0000 2020,406079816,0,We need @JoeBiden!!! Let’s not forget he can do the job and do the job with knowledge he has worked in and around the White House. His vast knowledge and experience will be needed after Tricky Trump is sent home. #JoeBiden2020https://twitter.com/JoeBiden/status/1229842517677441024 …,@JoeBiden,#JoeBiden2020https
Tue Feb 18 15:57:44 +0000 2020,2556331923,0,It will be unaffordable for many,,
Tue Feb 18 15:57:43 +0000 2020,1055943447440515072,0,"Good for you. I would too if I was in a swing state. But I don’t begrudge anyone who refuses to vote for Bernie, Biden, Bloomberg, trump or anyone else or if they choose not to vote at all. We’re adults and we can make our own decisions. Everyone should respect that.",,
Tue Feb 18 15:57:42 +0000 2020,2888463141,0,"Way more than 90 times out of a hundred, I cant talk to ppl who say they r liberals about these topics. I just wanted to say that I appreciate your logic. We can't deny the facts. Biden & fam are dirty and they raked in millions if not billions. Thank you for being honest.",,
Tue Feb 18 15:57:40 +0000 2020,905542805459750912,0,I literally haven’t heard about Joe Biden in weeks,,
Tue Feb 18 15:57:38 +0000 2020,8307472,0,"My take: He's still not the BEST choice. I think he only polls better because EVERYONE knows who he is, and they don't know the others yet (unsure) Interestingly I was polled a few days ago, the only direct matchups I was presented with were Bernie or Buttigieg. Odd...",,
Tue Feb 18 15:57:32 +0000 2020,310179803,0,Joe Biden disease?,,
Tue Feb 18 15:57:31 +0000 2020,1182581022,0,Joe Biden — Donate via ActBlue https://secure.actblue.com/donate/joe2020,,
Tue Feb 18 15:57:30 +0000 2020,461799092,0,"I don't want to burst anyone's bubble, but yesterday I stood in line with thousands of other people to turn in an early caucus vote in Las Vegas, and it was rare to find a Biden supporter. The top 3 were Warren, Buttigieg & Klobuchar",,
Tue Feb 18 15:57:26 +0000 2020,2767519352,0,'Hypothetical' Fantasy polling.,,
Tue Feb 18 15:57:25 +0000 2020,2149861842,1,AND HE BEATS TRUMP IN SWING STATES!https://twitter.com/mmurraypolitics/status/1229888325269573632?s=19 …,,
