,timestamp,Username,Retweets,Text,Mentions,Hashtags,Cleaned Tweets
0,Wed Feb 19 15:59:59 +0000 2020,760461174,0,"President Donald Trump Keep America Great Rally LIVE in Phoenix, AZ 2/... https://youtu.be/CpeyuC8t09o via @YouTube Watch Live now! @realDonaldTrump @POTUS ‘Keep America Great’ rally on @RSBNetwork The only channel that always shows you the huge crowds #KAG",@YouTube @realDonaldTrump @POTUS @RSBNetwork,#KAG,"['President', 'Donald', 'Trump', 'Keep', 'America', 'Great', 'Rally', 'LIVE', 'Phoenix', 'AZ', '2', '8t09o', 'via', '@YouTube', 'Watch', 'Live', '@realDonaldTrump', '@POTUS', '‘Keep', 'America', 'Great’', 'rally', '@RSBNetwork', 'The', 'channel', 'always', 'shows', 'huge', 'crowds', '#KAG']"
1,Wed Feb 19 15:59:59 +0000 2020,1207055329785270274,0,As big as your inauguration ... I mean imagination ?,,,"['As', 'big', 'inauguration', 'I', 'mean', 'imagination']"
2,Wed Feb 19 15:59:59 +0000 2020,529581944,0,"You just love corruption, don’t you?",,,"['You', 'love', 'corruption', 'don’t']"
3,Wed Feb 19 15:59:59 +0000 2020,1965753817,0,@realDonaldTrump is a #CriminalClownPresident #ObstructionOfJustice AGAIN and AGAIN and AGAINhttps://twitter.com/RWPUSA/status/1230248966266269696 …,@realDonaldTrump,#CriminalClownPresident #ObstructionOfJustice,"['@realDonaldTrump', '#CriminalClownPresident', '#ObstructionOfJustice', 'AGAIN', 'AGAIN', 'AGAIN1230248966266269696', '…']"
4,Wed Feb 19 15:59:59 +0000 2020,755949947686531072,1,The Stupid Rarely Know It. — A Famous Guy,,,"['The', 'Stupid', 'Rarely', 'Know', 'It', '—', 'A', 'Famous', 'Guy']"
5,Wed Feb 19 15:59:59 +0000 2020,276948988,0,Do you mean bankrupt farmers?,,,"['Do', 'mean', 'bankrupt', 'farmers']"
6,Wed Feb 19 15:59:59 +0000 2020,30912442,1,Do some actual work Donny.,,,"['Do', 'actual', 'work', 'Donny']"
7,Wed Feb 19 15:59:58 +0000 2020,280575352,0,"Remember donny it only holds 14,000 people. We shall see what you blow it up to be #GOPCoveruppic.twitter.com/ceT012RGWY",,#GOPCoveruppic,"['Remember', 'donny', 'holds', '14000', 'people', 'We', 'shall', 'see', 'blow', '12RGWY']"
8,Wed Feb 19 15:59:58 +0000 2020,49596082,0,Good. At least you’ll stop tweeting for a couple hours...,,,"['Good', 'At', 'least', 'you’ll', 'stop', 'tweeting', 'couple', 'hours']"
9,Wed Feb 19 15:59:58 +0000 2020,1029514739276279810,2,"Ok, Stain.pic.twitter.com/B0JtBUr1KR",,,"['Ok', '1KR']"
10,Wed Feb 19 15:59:58 +0000 2020,60589829,0,"My grandpa had an MI @73, died @96. Of course, he wasn’t carrying the weight of the #presidency around... My problem w/ @BernieSanders is that he’ll enrage the right, alienate the middle. The left ain’t enough to beat @realDonaldTrump.",@73 @96 @BernieSanders @realDonaldTrump,#presidency,"['My', 'grandpa', 'MI', '@73', 'died', '@96', 'Of', 'course', 'wasn’t', 'carrying', 'weight', '#presidency', 'around', 'My', 'problem', 'w', '@BernieSanders', 'he’ll', 'enrage', 'right', 'alienate', 'middle', 'The', 'left', 'ain’t', 'enough', 'beat', '@realDonaldTrump']"
11,Wed Feb 19 15:59:58 +0000 2020,827372906703360000,0,TRUMP 2020,,,"['TRUMP', '2020']"
12,Wed Feb 19 15:59:58 +0000 2020,1190457019746201600,0,Whoooaa alright President Trump way to go !!!,,,"['Whoooaa', 'alright', 'President', 'Trump', 'way', 'go']"
13,Wed Feb 19 15:59:58 +0000 2020,1002822683363561472,1,pic.twitter.com/hf2Ob14vib,,,['2Ob14vib']
14,Wed Feb 19 15:59:58 +0000 2020,1173258042235858944,0,I bet the big crowd will make your tiny hands look even more tiny,,,"['I', 'bet', 'big', 'crowd', 'make', 'tiny', 'hands', 'look', 'even', 'tiny']"
15,Wed Feb 19 15:59:58 +0000 2020,825218527418208256,0,@realDonaldTrump #CarnivalBarkingClown #ImpeachedForeverhttps://twitter.com/PaulLidicul/status/1230185603544707073 …,@realDonaldTrump,#CarnivalBarkingClown #ImpeachedForeverhttps,"['@realDonaldTrump', '#CarnivalBarkingClown', '#ImpeachedForever1230185603544707073', '…']"
16,Wed Feb 19 15:59:58 +0000 2020,3930472251,12,pic.twitter.com/d0y4Ee4X77,,,['4Ee4X77']
17,Wed Feb 19 15:59:58 +0000 2020,298602588,0,tat tar,,,"['tat', 'tar']"
18,Wed Feb 19 15:59:57 +0000 2020,85817329,0,Isn’t it just a rerun?,,,"['Isn’t', 'rerun']"
19,Wed Feb 19 15:59:57 +0000 2020,471561205,1,Well done Mr. President ! Great news for California !!!,,,"['Well', 'done', 'Mr', 'President', 'Great', 'news', 'California']"
20,Wed Feb 19 15:59:57 +0000 2020,2172113554,0,pic.twitter.com/7zvF6w8BCe,,,['7zvF6w8BCe']
21,Wed Feb 19 15:59:57 +0000 2020,842854481758900224,0,@realDonaldTrump is a treasonous traitor! https://twitter.com/FrankFigliuzzi1/status/1230277129557827590 …,@realDonaldTrump,,"['@realDonaldTrump', 'treasonous', 'traitor', '1status1230277129557827590', '…']"
22,Wed Feb 19 15:59:57 +0000 2020,87332613,0,Ok but do you really need to call him pathetic? Ugh.,,,"['Ok', 'really', 'need', 'call', 'pathetic', 'Ugh']"
