,timestamp,Username,Retweets,Text,Mentions,Hashtags,Cleaned Tweets
0,Tue Feb 18 15:59:59 +0000 2020,735715416396337152,0,So he’s going to run his campaign like you did Dumpy Trumpy?,,,"['So', 'he’s', 'going', 'run', 'campaign', 'like', 'Dumpy', 'Trumpy']"
1,Tue Feb 18 15:59:59 +0000 2020,818549400796594176,0,You antagonize people with your hate and support of violence. Violence breeds violence. Deal with it.,,,"['You', 'antagonize', 'people', 'hate', 'support', 'violence', 'Violence', 'breeds', 'violence', 'Deal']"
2,Tue Feb 18 15:59:59 +0000 2020,4497546616,0,Facts hurt,,,"['Facts', 'hurt']"
3,Tue Feb 18 15:59:59 +0000 2020,998780190158356480,0,No. Cases need to be reviewed to ensure they really are non-violent (no pleas to the drug charges on dropping of weapons or violence charges).,,,"['No', 'Cases', 'need', 'reviewed', 'ensure', 'really', 'nonviolent', 'pleas', 'drug', 'charges', 'dropping', 'weapons', 'violence', 'charges']"
4,Tue Feb 18 15:59:59 +0000 2020,1660931792,0,New model Virus Cruise ship New 88 people infection Verification https://twitter.com/i/events/1229520933804630016 … #DonaldTrump President #AbeShinzo PrimeMinister This century's largest Destruction of mankind crisis China Departure virus Developing country Human extinction crisis .∩∩ ＿( *^.^*)/,,#DonaldTrump #AbeShinzo,"['New', 'model', 'Virus', 'Cruise', 'ship', 'New', '88', 'people', 'infection', 'Verification', '1229520933804630016', '…', '#DonaldTrump', 'President', '#AbeShinzo', 'PrimeMinister', 'This', 'centurys', 'largest', 'Destruction', 'mankind', 'crisis', 'China', 'Departure', 'virus', 'Developing', 'country', 'Human', 'extinction', 'crisis', '∩∩', '＿']"
5,Tue Feb 18 15:59:59 +0000 2020,962658795083223040,0,"Sir, you’ve lost the respect of America by attacking an innocent American.",,,"['Sir', 'you’ve', 'lost', 'respect', 'America', 'attacking', 'innocent', 'American']"
6,Tue Feb 18 15:59:59 +0000 2020,146953655,0,"Sorry Donnie, it's not your day. It's Washington's and Lincoln's day...",,,"['Sorry', 'Donnie', 'day', 'Its', 'Washingtons', 'Lincolns', 'day']"
7,Tue Feb 18 15:59:59 +0000 2020,1097233713572786176,0,THE WALL IS USELESS.,,,"['THE', 'WALL', 'IS', 'USELESS']"
8,Tue Feb 18 15:59:59 +0000 2020,1144480480516960256,0,Alit of space in there to move sround,,,"['Alit', 'space', 'move', 'sround']"
9,Tue Feb 18 15:59:59 +0000 2020,25322167,4,"I met Trump 3 times at WWE events & i knew the girls Aka Divas absolutely despised @realDonaldTrump. I had heard complaints but all were scared to say shit coz of @VinceMcMahon love of Trump. I am glad to see one spoke up, NO HOF for her",@realDonaldTrump @VinceMcMahon,,"['I', 'met', 'Trump', '3', 'times', 'WWE', 'events', 'knew', 'girls', 'Aka', 'Divas', 'absolutely', 'despised', '@realDonaldTrump', 'I', 'heard', 'complaints', 'scared', 'say', 'shit', 'coz', '@VinceMcMahon', 'love', 'Trump', 'I', 'glad', 'see', 'one', 'spoke', 'NO', 'HOF']"
10,Tue Feb 18 15:59:59 +0000 2020,1106926846346711041,0,So @realDonaldTrump stole @BernieSanders ideas? Sounds right,@realDonaldTrump @BernieSanders,,"['So', '@realDonaldTrump', 'stole', '@BernieSanders', 'ideas', 'Sounds', 'right']"
11,Tue Feb 18 15:59:59 +0000 2020,1026779472,0,That's funny coming from a tRump supporter,,,"['Thats', 'funny', 'coming', 'tRump', 'supporter']"
12,Tue Feb 18 15:59:59 +0000 2020,4085655028,0,pic.twitter.com/Gwscc4AFFp,,,['4AFFp']
13,Tue Feb 18 15:59:58 +0000 2020,1062060502229098496,0,"That was a living, breathing, Lion that Barron is so blatantly disrespectful of. Mommy Dearest and F rump, have Zero intelligence or empathy for any living Soul. Including...Melania’s Son. Remember that little slip. Pure evil Narcissistic behavior.",,,"['That', 'living', 'breathing', 'Lion', 'Barron', 'blatantly', 'disrespectful', 'Mommy', 'Dearest', 'F', 'rump', 'Zero', 'intelligence', 'empathy', 'living', 'Soul', 'IncludingMelania’s', 'Son', 'Remember', 'little', 'slip', 'Pure', 'evil', 'Narcissistic', 'behavior']"
